City,Local Time,Temperature_F,Weather_Type,Temperature_Desc
Abu Dhabi,Thu 10:14 am,104,Passing clouds,Extremely hot
Accra,Thu 6:14 am,77,Mostly cloudy,Warm
Addis Ababa,Thu 9:14 am,61,Fog,Cool
Algiers,Thu 7:14 am,86,Overcast,Warm
Alofi,Wed 7:14 pm,70,No weather data,Mild
Amman,Thu 9:14 am,82,Clear,Pleasantly warm
Amsterdam,Thu 8:14 am,63,Passing clouds,Mild
Ankara,Thu 9:14 am,72,Sunny,Mild
Antananarivo,Thu 9:14 am,64,Passing clouds,Mild
Apia,Thu 7:14 pm,82,Partly sunny,Warm
Ashgabat,Thu 11:14 am,91,Clear,Hot
Astana,Thu 11:14 am,81,Passing clouds,Pleasantly warm
Asuncion,Thu 3:14 am,73,Clear,Mild
Athens,Thu 9:14 am,80,No weather data,Warm
Baghdad,Thu 9:14 am,86,Sunny,Pleasantly warm
Baku,Thu 10:14 am,84,Sunny,Warm
Bamako,Thu 6:14 am,75,Passing clouds,Mild
Bandar Seri Begawan,Thu 2:14 pm,93,Partly sunny,Extremely hot
Bangkok,Thu 1:14 pm,90,Broken clouds,Hot
Bangui,Thu 7:14 am,73,Passing clouds,Mild
Banjul,Thu 6:14 am,77,Partly cloudy,Warm
Basseterre,Thu 2:14 am,82,Passing clouds,Warm
Beijing,Thu 2:14 pm,84,Sunny,Warm
Belgrade,Thu 8:14 am,70,Passing clouds,Mild
Belmopan,Thu 12:14 am,79,Passing clouds,Warm
Berlin,Thu 8:14 am,59,Sunny,Cool
Bern,Thu 8:14 am,61,Sunny,Cool
Bishkek,Thu 12:14 pm,74,Sunny,Mild
Bissau,Thu 6:14 am,77,Passing clouds,Warm
Bogota,Thu 1:14 am,57,Passing clouds,Cool
Brades,Thu 2:14 am,82,Sprinkles. Passing clouds,Warm
Brasilia,Thu 3:14 am,66,Clear,Mild
Bratislava,Thu 8:14 am,68,Sunny,Mild
Brazzaville,Thu 7:14 am,73,Clear,Mild
Bridgetown,Thu 2:14 am,82,Passing clouds,Warm
Brussels,Thu 8:14 am,61,Sunny,Cool
Bucharest,Thu 9:14 am,68,Scattered clouds,Mild
Budapest,Thu 8:14 am,66,Thundershowers. Broken clouds,Mild
Buenos Aires,Thu 3:14 am,57,Light rain. Clear,Cool
Cairo,Thu 9:14 am,79,Fog,Warm
Canberra,Thu 4:14 pm,61,Passing clouds,Refreshingly cool
Caracas,Thu 2:14 am,81,Passing clouds,Warm
Castries,Thu 2:14 am,83,Passing clouds,Warm
Chișinău,Thu 9:14 am,63,Sprinkles. More clouds than sun,Mild
Conakry,Thu 6:14 am,79,Passing clouds,Warm
Copenhagen,Thu 8:14 am,59,Clear,Cool
Dakar,Thu 6:14 am,84,Passing clouds,Warm
Damascus,Thu 9:14 am,81,Sunny,Warm
Dhaka,Thu 12:14 pm,87,Partly sunny,Warm
Dodoma,Thu 9:14 am,65,Passing clouds,Mild
Doha,Thu 9:14 am,99,Clear,Extremely hot
Douglas,Thu 7:14 am,63,Passing clouds,Mild
Dublin,Thu 7:14 am,61,Fog,Cool
Dushanbe,Thu 11:14 am,88,Clear,Pleasantly warm
Freetown,Thu 6:14 am,77,Passing clouds,Warm
Funafuti,Thu 6:14 pm,77,Sprinkles. Overcast,Warm
Gaborone,Thu 8:14 am,59,Partly sunny,Cool
George Town (Cayman Islands),Thu 1:14 am,86,Passing clouds,Warm
Georgetown (Guyana),Thu 2:14 am,86,Scattered clouds,Warm
Gibraltar,Thu 8:14 am,72,Passing clouds,Mild
Gitega,Thu 8:14 am,68,Passing clouds,Mild
Gizo,Thu 5:14 pm,83,Overcast,Warm
Guatemala City,Thu 12:14 am,66,Partly cloudy,Mild
Hamilton,Thu 3:14 am,82,Passing clouds,Warm
Hanoi,Thu 1:14 pm,91,Scattered clouds,Hot
Harare,Thu 8:14 am,50,Clear,Cool
Havana,Thu 2:14 am,79,Passing clouds,Warm
Helsinki,Thu 9:14 am,59,Sunny,Cool
Honiara,Thu 5:14 pm,90,Overcast,Hot
Islamabad,Thu 11:14 am,84,Haze,Warm
